【招聘会】东华大学2016届毕业生春季供需洽谈会
2016-03-15 东华就业


本次招聘会有几百家优质企业前来参展，多数企业是针对东华大学现有的专业量身打造，我校的学生和提供的岗位较以往匹配度更高，希望工作还没确定，正在苦苦寻觅的同学准时参加！“心动不如行动，工作就在这里！适合你的就是最好的，你来~~就有机会！！！”
洽谈会时间
 2016年3月17日（周四）下午14:00-16:00
地点：东华松江体育馆
本次洽谈会分为两个洽谈区域
洽谈会1 机械、信息、计算机、环境、理学类专场
洽谈会区域1一览

序号 单位名称 区域
270 上海安托信息技术有限公司 1
271 北京东方国信科技股份有限公司 1
272 电信科学技术第一研究所 1
273 上海民航职业技术学院 1
274 上海康成生物工程有限公司 1
275 上海美瑞实业有限公司 1
276 东航金控有限责任公司 1
278 上海好屋网信息技术有限公司 1
279 中国太平洋人寿保险股份有限公司上海分公司 1
280 上海东润换热设备制造有限公司 1
281 平安养老保险股份有限公司上海分公司 1
282 闻泰医疗科技(上海)有限公司 1
284 中青旅上海国际旅行社有限公司 1
285 常州数赢云网络科技有限公司 1
286 上海华元创信软件有限公司 1
287 上海大观股权投资基金有限公司 1
341 雾的池内（上海）贸易有限公司 1
342 中国电信股份有限公司上海分公司 1
343 上海亮达塑胶有限公司 1
344 励为网络科技（上海）有限公司 1
345 上海律云科技有限公司 1
347 上海亿通国际股份有限公司 1
348 上海纵游网络技术有限公司 1
349 上海飞科电器股份有限公司 1
350 上海华燕房盟网络科技股份有限公司 1
352 中国东方航空股份有限公司 1
353 浙江大华技术股份有限公司 1
354 上海紫越网络科技股份有限公司 1
357 上海电力建设启动调整试验所 1
358 上海徕木电子股份有限公司 1
288 上海漕河泾新兴技术开发区本部 1
289 上海漕河泾开发区枫泾新兴产业发展有限公司 1
290 上海实效数位营销顾问有限公司 1
291 上海计算机软件技术开发中心 1
292 上海联和金融信息服务有限公司 1
293 中国电信-上海理想信息产业（集团）有限公司 1
294 上海软中信息技术有限公司 1
295 红倍心（福建）生物科技有限公司上海分公司 1
296 上海中远资讯科技有限公司 1
297 上海科华生物工程股份有限公司 1
298 上海艾瑞德生物科技有限公司 1
299 上海生物制品研究所有限责任公司 1
300 上海莱博环境检测技术咨询有限公司 1
301 上海自动化仪表有限公司 1
302 延锋汽车内饰系统（上海）有限公司 1
303 上海柯斯软件股份有限公司 1
304 上海宏巍信息技术有限公司 1
305 中国民航信息网络股份有限公司上海分公司 1
306 上海凡立自动化工程有限公司 1
307 盘石软件（上海）有限公司 1
308 上海炳恒金融信息服务有限公司 1
309 上海波克城市网络科技股份有限公司 1
310 上海艾泰科技有限公司 1
311 上海电信恒联网络有限公司 1
312 上海铼钠克数控科技有限公司 1
313 上海质慧新能源科技有限公司 1
314 北京三维天地科技有限公司上海分公司 1
315 上海汇付科技有限公司 1
316 维坤智能科技（上海）有限公司 1
317 一诺仪器（中国）有限公司 1
318 上海华伍行力流体控制有限公司 1
319 万达信息股份有限公司 1
320 上海科技网络通信有限公司 1
321 PFU上海计算机有限公司 1
322 上海广茂达光艺科技股份有限公司 1
323 上海恩梯梯数据晋恒软件有限公司 1
324 希凯电子机械开发（上海）有限公司 1
325 上海民航华东凯亚系统集成有限公司 1
326 上海天祥质量技术服务有限公司 1
327 上海纳恩汽车技术有限公司 1
328 上海启明软件股份有限公司 1
329 上海渐华科技发展有限公司 1
330 上海容易网电子商务股份有限公司 1
331 上海博古进出口贸易有限公司 1
332 上海环球展览有限公司 1
333 上海卓繁信息技术股份有限公司 1
334 上海复泰教育培训学院 1
335 上海大钱信息技术有限公司 1

洽谈会2 纺织、服装、材料、化工类专场
洽谈会区域2一览
2 上海三带特种工业线带有限公司 2
9 上海洲克服饰有限公司 2
10 鲁泰纺织股份有限公司 2
18 上海浔兴拉链制造有限公司 2
26 上海集丝坊国际贸易有限公司 2
30 上海圣欧同安防护用品开发有限公司 2
31 迪卡侬（上海）体育用品有限公司顾戴分公司 2
36 上海市浦东新区房地产（集团）有限公司 2
55 上海丝绸集团品牌发展有限公司 2
59 上海吉得化学有限公司 2
60 华伦皮塑（苏州）有限公司 2
64 天津泰达阿尔卑斯物流有限公司上海分公司 2
65 普澜特复合面料（上海）有限公司 2
69 浙江恒逸集团有限公司 2
73 上海爱尔企业发展有限公司 2
78 上海风格服饰有限公司 2
82 厦门七匹狼针纺有限公司 2
86 山东联润新材料科技有限公司 2
87 苏州睿研纳米医学科技有限公司 2
88 上海纺赞国际贸易有限公司 2
89 宏珏高级时装股份有限公司 2
91 浙江华海机械集团 2
96 上海凯密科实业有限公司 2
100 江苏众红生物工程创药研究院有限公司 2
102 合富(中国)医疗科技贸易有限公司 2
109 上海诚岳国际贸易有限公司 2
119 纳峰真空镀膜(上海)有限公司 2
121 颖通(上海)贸易有限公司 2
126 宏达高科控股股份有限公司 2
127 上海协大国际贸易有限公司 2
135 地素时尚股份有限公司 2
136 思必力商务咨询(上海)有限公司 2
137 上海红星美凯龙家居艺术设计博览有限公司 2
142 上海诺本会展服务有限公司 2
143 宁波雅戈尔日中纺织印染有限公司 2
149 上海依连胜网络科技有限公司 2
150 上海三枪(集团)有限公司 2
152 中化塑料有限公司 2
155 上海剧品电子商务有限公司 2
159 上海艾的文化传播有限公司浦东分公司 2
162 上海汉尼生物技术有限公司 2
165 上海之禾时尚实业(集团)有限公司 2
173 上海远东正大商品检验有限公司 2
174 江苏兰干集团有限公司 2
176 康化(上海)新药研发有限公司 2
179 上海天昊生物科技有限公司 2
181 中轻物产股份有限公司 2
183 浙江海利得新材料股份有限公司 2
192 通卡包装服务(上海)有限公司 2
197 上海泰美国际旅行社有限公司 2
198 上海悦易网络信息技术有限公司 2
199 东方 国际集团上海家纺有限公司 2
212 上海中镭新材料科技有限公司 2
214 上海申达进出口有限公司  2
227 上海东大聚氨酯有限公司 2
231 上海爱普食品工业有限公司 2
233 乾玺贸易(上海)有限公司 2
237 中国纺织工业对外经济技术合作公司 2
242 上海帝亚实业有限公司 2
245 湖州凯恩涂层有限公司 2
246 恒标检测技术(上海)有限公司 2
247 江苏苏美达轻纺国际贸易有限公司 2
249 上海佳森科技有限公司 2
252 陶丽西(苏州)陶瓷釉色料有限公司 2
257 新东方教育科技集团上海学校 2
262 劲霸男装股份有限公司 2
264 上海领显投资有限公司 2
265 上海微谱化工技术服务有限公司 2
267 上海美吉生物医药科技有限公司 2
269 上海兆维科技发展有限公司 2
277 海恩斯莫里斯(上海)贸易有限公司 2
336 福建龙峰纺织科技实业有限公司 2
337 晋江市纺织服装质量技术中心 2
338 晋江市利碧兴服装织造有限公司 2
339 利郎（中国）有限公司 2
340 新宏色彩科技有限公司　 2
346 上海维凯光电新材料有限公司 2
356 可洛丝商贸（上海）有限公司 2
360 上海劲购电子商务有限公司 2
361 上海苹豆商贸有限公司 2
362 东方国际集团上海市纺织品进出口有限公司 2
19 深圳汇洁集团股份有限公司 2
20 华设资产管理（上海）有限公司 2
63 上海公安高等专科学校 2
70 上海统一星巴克咖啡有限公司 2
92 保利置业集团（上海）投资有限公司 2
111 Antal International 安拓国际 2
351 科博留学服务有限公司 2
147 上海东方国际创业品牌管理股份有限公司 1和2






东华大学就业服务中心
东华就业
人生导航

微信号：dhujob

东华就业服务中心电话：67792486；67792801
东华大学就业服务中心网址：http://job.dhu.edu.cn/


阅读 29515 投诉
