【招聘会】东华大学2016届毕业生春季供需洽谈会（延安路）
2016-03-23 东华就业

东华大学2016届毕业生春季供需洽谈会（延安路）

本次招聘会是针对东华大学同学量身打造，分为经管、人文类和服装、纺织、化工类专场，同时也涉及到了其他理工类的招聘岗位，企业对东华大学的学生求贤若渴，同学们行动起来去寻找未来属于自己的天地！
招聘会时间
2016年3月24日（周四）下午14:00-16:00
 
地点
东华大学（延安西路1882号，东华大学体育馆）


服装、纺织、化工类（企业名单一览）
序号 单位名称
113 上海飞粤贸易有限公司
114 上海中云资产管理有限公司 
115 上海即信信息科技有限公司
116 上海博进医疗器械有限公司
117 天玺国际商业保理有限公司
118 泰然资产管理有限公司上海分公司
119 Antal International 安拓国际
120 东方有线网络有限公司
121 亚信财富融资租赁有限公司
122 上海雪榕生物科技股份有限公司
123 致胜盈彩网络科技公司
124 上海凯纬斯信息技术有限公司
125 合富(中国)医疗科技贸易有限公司
126 上海津衡投资管理有限公司
127 上海特云金融信息服务有限公司
128 上海青纺实业有限公司
129 上海瑞慈医疗投资集团有限公司
130 上海学而思教育信息咨询有限公司
131 上海东钦餐饮管理有限公司
132 上海风创信息咨询有限公司
133 乐金生活健康贸易(上海)有限公司
134 江曲投资咨询(上海)有限公司
135 康奈可(中国)投资有限公司
136 可洛丝商贸（上海）有限公司
137 上海译莱文化传播有限公司
138 博禾展览（上海）有限公司
139 北京府学在线教育科技有限公司
140 久福易融(上海)互联网金融信息服务有限公司
141 上海联众网络信息有限公司
142 上海和睦家医院   
143 上海美甄企业管理咨询有限公司
144 上海涑流文化传播有限公司
145 上海思来氏信息咨询有限公司
146 东方财富信息股份有限公司
147 上海申达股份有限公司 
148 上海蝶翠诗商业有限公司
149 上海淘课企业管理咨询有限公司
150 上海汉得知云软件有限公司
151 上海品轩企业形象设计制作有限公司
152 上海有活信息科技有限公司
153 上海有车有家融资租赁有限公司（汽车之家金融公司）
154 书香门地（上海）新材料科技有限公司
155 上海大众出行信息技术股份有限公司
156 上海欧计斯软件有限公司
157 兴业证券上海天钥桥路营业部
158 上海妙文会展服务有限公司


东华大学就业服务中心
东华就业
人生导航

微信号：dhujob

东华就业服务中心电话：67792486；67792801
东华大学就业服务中心网址：http://job.dhu.edu.cn/


阅读 4031 投诉
